Names, Symbols
Thumbs Up: Medium-Light Skin Tone, 👍🏼
Thumbs Up: Light Skin Tone, 👍🏻
Oncoming Fist: Light Skin Tone, 👊🏻
Clapping Hands, 👏
Clapping Hands: Light Skin Tone, 👏🏻
Woman Dancing, 💃
Woman Dancing: Light Skin Tone, 💃🏻
Baby, 👶
Baby: Light Skin Tone, 👶🏻
Baby: Medium-Light Skin Tone, 👶🏼🏻
Girl, 👧
Girl: Light Skin Tone, 👧🏻
Girl: Medium-Light Skin Tone, 👧🏼
Boy, 👦
Boy: Light Skin Tone, 👦🏻
Man, 👨
Woman, 👩
Bride With Veil, 👰
Person Facepalming, 🤦
Person Facepalming: Light Skin Tone, 🤦🏻
Person Facepalming: Medium-Light Skin Tone, 🤦🏼
Man Facepalming, 🤦‍♂️
Person Walking, 🚶 
Man Walking, 🚶‍♂️ 
Woman Walking, 🚶‍♀️ 
Person Running, 🏃 
Man Running, 🏃‍♂️ 
Woman Running, 🏃‍♀️ 
Man Dancing, 🕺 

